WT	drdd	logFC_drdd_WT	PValue_drdd_WT	FDR_drdd_WT
AT1TE00010	0	0	0	1	1
AT1TE00020	0	0	0	1	1
AT1TE00025	0	0	0	1	1
AT1TE00030	0	0	0	1	1
AT1TE00150	0	0	0	1	1
AT1TE00220	0	0	0	1	1
AT1TE00225	33.0680632493749	82.6493052701449	1.09865081771097	0.491125896581129	1
AT1TE00470	0	0	0	1	1
AT1TE00600	0	0	0	1	1
AT1TE00605	0	0	0	1	1
AT1TE00610	0	0	0	1	1
AT1TE00660	0	0	0	1	1
AT1TE00665	0	0	0	1	1
AT1TE00670	0	0	0	1	1
AT1TE00680	0	0	0	1	1
AT1TE00820	0	0	0	1	1
AT1TE00825	0	0	0	1	1
AT1TE00830	0	0	0	1	1
AT1TE00835	0	0	0	1	1
AT1TE00840	0	0	0	1	1
AT1TE00845	0	0	0	1	1
AT1TE01010	0	0	0	1	1
AT1TE01140	0	0	0	1	1
AT1TE01145	0	0	0	1	1
AT1TE01155	1712.32788926398	2616.21544015041	0.623107577301132	0.0922218090069268	1
AT1TE01370	0	13.2355830818579	2.73354315802622	0.545728802518875	1
AT1TE01390	0	0	0	1	1
AT1TE01395	0	0	0	1	1
AT1TE01400	0	0	0	1	1
AT1TE01405	0	0	0	1	1
AT1TE01490	10.7779866410237	0	-1.94160833191318	0.999999999999999	1
AT1TE01530	0	0	0	1	1
AT1TE01610	0	0	0	1	1
AT1TE01615	0	0	0	1	1
AT1TE01620	0	0	0	1	1
AT1TE01625	0	0	0	1	1
AT1TE01660	0	0	0	1	1
AT1TE01665	0	0	0	1	1
AT1TE01710	0	0	0	1	1
AT1TE01740	0	0	0	1	1
AT1TE01745	0	0	0	1	1
AT1TE01750	0	0	0	1	1
AT1TE01755	0	0	0	1	1
AT1TE01760	0	0	0	1	1
AT1TE01810	0	0	0	1	1
AT1TE01900	0	0	0	1	1
AT1TE01905	0	0	0	1	1
AT1TE01910	0	0	0	1	1
AT1TE01915	0	0	0	1	1
AT1TE01920	0	0	0	1	1
AT1TE01970	0	0	0	1	1
AT1TE01975	0	0	0	1	1
AT1TE01980	0	0	0	1	1
AT1TE01985	0	0	0	1	1
AT1TE02060	0	0	0	1	1
AT1TE02070	0	0	0	1	1
AT1TE02075	0	0	0	1	1
AT1TE02080	0	0	0	1	1
AT1TE02160	0	0	0	1	1
AT1TE02165	0	0	0	1	1
AT1TE02175	0	0	0	1	1
AT1TE02180	0	0	0	1	1
AT1TE02190	0	0	0	1	1
AT1TE02195	0	0	0	1	1
AT1TE02200	0	0	0	1	1
AT1TE02260	0	0	0	1	1
AT1TE02265	0	0	0	1	1
AT1TE02270	0	0	0	1	1
AT1TE02275	0	0	0	1	1
AT1TE02360	267.37484578129	315.1625875051	-0.0356824339634941	1	1
AT1TE02365	0	0	0	1	1
AT1TE02460	3058.6606700051	1682.86981977859	-0.757047183936977	0.0828783768862176	1
AT1TE02465	0	0	0	1	1
AT1TE02470	0	0	0	1	1
AT1TE02540	0	0	0	1	1
AT1TE02545	0	47.1091243197057	1.84960240321096	0.999999999999999	1
AT1TE02550	8799.10327107521	11772.6936590708	0.458978065130231	0.584915179563624	1
AT1TE02555	0	0	0	1	1
AT1TE02560	0	0	0	1	1
AT1TE02565	0	0	0	1	1
AT1TE02680	0	0	0	1	1
AT1TE02685	0	0	0	1	1
AT1TE02690	0	0	0	1	1
AT1TE02695	0	0	0	1	1
AT1TE02770	3759.20834728755	3984.44048170137	0.0769818239778434	0.717070154583052	1
AT1TE02880	0	78.7938904454712	2.71366531945402	0.541962415803079	1
AT1TE02950	0	0	0	1	1
AT1TE02980	0	0	0	1	1
AT1TE02985	0	0	0	1	1
AT1TE03010	0	0	0	1	1
AT1TE03050	19.6634788397264	29.24881020384	0.663457399523776	1	1
AT1TE03080	0	0	0	1	1
AT1TE03170	0	0	0	1	1
AT1TE03175	0	0	0	1	1
AT1TE03180	0	0	0	1	1
AT1TE03185	0	0	0	1	1
AT1TE03190	0	17.3271635673854	2.55154670770556	0.515246695210649	1
AT1TE03195	0	0	0	1	1
AT1TE03780	0	0	0	1	1
AT1TE03785	0	0	0	1	1
AT1TE03790	0	0	0	1	1
AT1TE03830	0	0	0	1	1
AT1TE03835	0	0	0	1	1
AT1TE03860	0	0	0	1	1
AT1TE03865	0	0	0	1	1
AT1TE03870	0	0	0	1	1
AT1TE03900	8.56082220758776	0	-1.92212752750202	1	1
AT1TE03905	0	0	0	1	1
AT1TE03915	0	0	0	1	1
AT1TE03925	270.083665239771	0	-1.94160820592328	0.999999999999999	1
AT1TE03930	18.7847968141156	59.7785672428405	1.63540036143143	0.248642054879314	1
AT1TE03935	14.8302307091761	0	-1.9244703557181	0.999999999999999	1
AT1TE04080	0	0	0	1	1
AT1TE04160	0	0	0	1	1
AT1TE04165	0	0	0	1	1
AT1TE04170	0	0	0	1	1
AT1TE04200	5739.1081208257	8945.59183413225	0.632611469486591	0.109631368994289	1
AT1TE04205	0	0	0	1	1
AT1TE04220	0	0	0	1	1
AT1TE04500	0	0	0	1	1
AT1TE04510	0	0	0	1	1
AT1TE04620	0	0	0	1	1
AT1TE04660	0	0	0	1	1
AT1TE04665	0	0	0	1	1
AT1TE04670	0	0	0	1	1
AT1TE04675	0	0	0	1	1
AT1TE04700	0	0	0	1	1
AT1TE04705	0	0	0	1	1
AT1TE04710	14.871003430206	7.14568075294962	-0.903151084200897	0.999999999999993	1
AT1TE04715	0	0	0	1	1
AT1TE04720	0	0	0	1	1
AT1TE04725	0	0	0	1	1
AT1TE04830	0	0	0	1	1
AT1TE04835	5784.31018225709	6154.70224449636	0.0709753697355442	0.736459076002568	1
AT1TE04840	425.281963650712	292.531091656389	-0.649568326197657	0.407438459516389	1
AT1TE04920	44.488431128107	144.798298617903	1.59029820729767	0.128692005332476	1
AT1TE04970	0	0	0	1	1
AT1TE04975	0	0	0	1	1
AT1TE04980	0	0	0	1	1
AT1TE04985	53.388631500885	0	-1.94160807993637	1	1
AT1TE04990	0	0	0	1	1
AT1TE04995	0	0	0	1	1
AT1TE05000	71.4020892460834	0	-2.71761404944407	0.510016097579193	1
AT1TE05170	0	0	0	1	1
AT1TE05220	0	0	0	1	1
AT1TE05225	0	0	0	1	1
AT1TE05280	0	0	0	1	1
AT1TE05480	0	0	0	1	1
AT1TE05485	0	0	0	1	1
AT1TE05490	0	0	0	1	1
AT1TE05580	0	0	0	1	1
AT1TE05585	0	0	0	1	1
AT1TE05590	0	0	0	1	1
AT1TE05700	0	0	0	1	1
AT1TE05870	4280.24606171909	4783.17816068256	0.174287699979373	0.780406585119372	1
AT1TE06030	0	0	0	1	1
AT1TE06060	0	0	0	1	1
AT1TE06140	0	0	0	1	1
AT1TE06220	0	0	0	1	1
AT1TE06340	0	0	0	1	1
AT1TE06345	0	0	0	1	1
AT1TE06460	0	0	0	1	1
AT1TE06465	0	0	0	1	1
AT1TE06470	0	0	0	1	1
AT1TE06475	0	0	0	1	1
AT1TE06480	0	0	0	1	1
AT1TE06485	0	0	0	1	1
AT1TE06560	213.464464406248	279.442403414139	0.358267020025161	0.823221524868798	1
AT1TE06650	1532.87035649652	1500.86229483269	-0.0229705996499431	0.932340140386669	1
AT1TE06655	0	0	0	1	1
AT1TE06730	2154.73890678311	4525.89077357529	1.06046088506519	0.0328750560648536	1
AT1TE06780	420.107223903028	437.265739092789	0.0544971944828966	0.887722983755972	1
AT1TE07050	0	0	0	1	1
AT1TE07150	0	0	0	1	1
